material,strength,weight_capacity,biodegradability,co2_emission,recyclability,cost,durability,industry,co2_impact_index,cost_efficiency_index,suitability_score,type
Carbon Fiber Composite,485.84,23.46,8,470.78,11.24,320.27956,5.69,Tablet,3.97,2.53,100.7,Carbon Fiber Composite
Stainless Steel,311.5,31.93,8,417.58,44.7,189.83279,6.35,Smartphone,4.73,5.68,66.99,Stainless Steel
Carbon Fiber Composite,441.47,21.25,4,99.48,41.46,260.38339,7.65,Hair Dryer,9.29,3.98,92.6,Carbon Fiber Composite
Stainless Steel,357.11,1.41,2,142.12,60.09,186.08691,9.99,Electric Vehicle Battery Pack,8.68,5.77,75.56,Stainless Steel
Aluminum Alloy,367.31,8.73,7,245.47,61.35,208.74931,6.72,Refrigerator,7.2,5.23,78.84,Aluminum Alloy
Aluminum Alloy,378.91,37.88,4,203.92,70.0,278.16264,8.37,Microwave Oven,7.79,3.55,80.64,Aluminum Alloy
Carbon Fiber Composite,349.69,24.79,3,237.37,55.24,233.45035,3.94,Hair Dryer,7.32,4.63,73.96,Carbon Fiber Composite
Copper,272.11,47.58,2,138.0,84.9,178.09589,8.33,Microwave Oven,8.74,5.97,59.32,Copper
Stainless Steel,50.25,30.17,5,50.0,55.31,52.45729,9.23,Microwave Oven,10.0,9.0,15.21,Stainless Steel
Low Carbon Steel,141.79,32.15,8,333.77,50.04,104.11345,9.58,Tablet,5.93,7.75,33.45,Low Carbon Steel
ABS Plastic,352.73,41.53,3,373.8,62.9,219.66058,4.79,Microwave Oven,5.36,4.96,74.41,ABS Plastic
Carbon Fiber Composite,343.57,35.68,1,154.64,84.51,198.285,7.53,Washing Machine,8.5,5.48,73.25,Carbon Fiber Composite
Lithium-ion Battery Material,190.87,8.54,5,245.76,18.43,101.07383,10.87,Washing Machine,7.2,7.83,41.67,Lithium-ion Battery Material
Carbon Fiber Composite,423.88,1.0,5,259.01,58.77,345.5404,7.28,Microwave Oven,7.01,1.92,89.44,Carbon Fiber Composite
Polypropylene,423.71,1.0,2,147.01,48.57,216.56735,6.89,Refrigerator,8.61,5.04,88.52,Polypropylene
Polypropylene,123.38,41.25,6,249.98,12.28,86.29554,11.04,Washing Machine,7.13,8.18,28.27,Polypropylene
Stainless Steel,199.92,9.78,2,309.07,46.13,106.48982,5.38,Hair Dryer,6.29,7.7,43.23,Stainless Steel
Aluminum Alloy,256.59,35.49,9,161.37,77.34,181.27846,6.85,Microwave Oven,8.4,5.89,58.02,Aluminum Alloy
Carbon Fiber Composite,156.44,25.0,10,468.25,45.53,82.14421,7.26,LED TV,4.01,8.28,36.46,Carbon Fiber Composite
Glass,321.98,12.42,5,188.63,5.0,180.15928,7.57,Smartphone,8.01,5.92,67.65,Glass
Silicon,372.57,20.62,10,324.0,65.77,291.08189,10.44,Electric Vehicle Battery Pack,6.07,3.24,80.7,Silicon
Carbon Fiber Composite,296.75,39.92,3,435.34,65.86,185.63589,7.0,Tablet,4.48,5.78,63.12,Carbon Fiber Composite
Copper,244.94,23.13,4,137.6,45.2,171.13287999999997,9.45,LED TV,8.74,6.14,53.29,Copper
ABS Plastic,297.74,34.28,7,518.34,26.82,234.90818,10.06,Electric Vehicle Battery Pack,3.29,4.59,63.11,ABS Plastic
Lithium-ion Battery Material,141.21,5.33,6,50.0,56.36,137.58377000000002,10.55,Hair Dryer,10.0,6.95,33.73,Lithium-ion Battery Material
Polypropylene,292.89,44.93,10,123.5,58.9,203.18627,9.18,Tablet,8.95,5.36,65.14,Polypropylene
Lithium-ion Battery Material,10.0,4.9,2,486.96,83.55,59.146260000000005,8.77,Electric Vehicle Battery Pack,3.74,8.84,5.85,Lithium-ion Battery Material
Low Carbon Steel,214.29,11.41,1,178.27,57.68,131.37136999999998,9.51,LED TV,8.16,7.1,46.52,Low Carbon Steel
Silicon,216.92,38.25,6,490.4,81.37,160.58139,6.36,Microwave Oven,3.69,6.39,48.36,Silicon
Copper,182.83,44.49,1,400.13,78.57,156.91516,6.57,Hair Dryer,4.98,6.48,40.22,Copper
Low Carbon Steel,268.12,33.46,6,153.07,100.0,137.99346,10.56,Air Conditioner,8.52,6.94,60.13,Low Carbon Steel
Carbon Fiber Composite,82.34,23.68,7,231.52,44.16,74.69287,7.84,Microwave Oven,7.4,8.46,21.37,Carbon Fiber Composite
Aluminum Alloy,423.54,48.14,4,336.52,55.04,296.55222000000003,7.19,Air Conditioner,5.89,3.11,88.74,Aluminum Alloy
Glass,10.0,32.07,2,519.97,43.76,96.95259,7.97,Air Conditioner,3.27,7.93,4.57,Glass
Lithium-ion Battery Material,112.1,36.31,8,319.42,90.98,59.49038,5.89,Refrigerator,6.14,8.83,28.78,Lithium-ion Battery Material
Carbon Fiber Composite,488.78,36.3,3,192.34,64.46,301.21127,7.93,Refrigerator,7.96,2.99,102.18,Carbon Fiber Composite
Carbon Fiber Composite,446.86,46.29,7,344.0,82.84,278.29884000000004,9.46,Air Conditioner,5.79,3.55,95.12,Carbon Fiber Composite
Copper,102.57,22.15,9,309.82,45.37,98.4263,7.52,Refrigerator,6.28,7.89,25.83,Copper
Aluminum Alloy,125.16,36.95,5,544.98,42.39,105.10085,3.68,Electric Vehicle Battery Pack,2.91,7.73,28.39,Aluminum Alloy
Polypropylene,315.21,44.74,2,432.47,77.52,228.50111,7.85,Refrigerator,4.52,4.75,66.87,Polypropylene
ABS Plastic,128.4,1.0,7,508.1,35.77,141.44237,9.68,Washing Machine,3.44,6.85,29.54,ABS Plastic
Stainless Steel,314.46,37.31,7,163.27,60.93,223.34978,8.69,Electric Vehicle Battery Pack,8.38,4.87,68.5,Stainless Steel
Stainless Steel,128.97,43.2,10,248.62,68.05,107.91975,10.1,Tablet,7.15,7.66,32.27,Stainless Steel
Polypropylene,218.39,19.21,2,452.28,100.0,154.09936,8.22,Electric Vehicle Battery Pack,4.24,6.55,48.13,Polypropylene
Glass,193.7,25.94,6,437.46,65.03,177.47926,9.44,Microwave Oven,4.45,5.98,43.38,Glass
Carbon Fiber Composite,152.65,24.26,6,464.65,46.12,139.95865,6.13,LED TV,4.06,6.89,34.53,Carbon Fiber Composite
Aluminum Alloy,214.49,26.11,2,479.04,48.6,155.00375,5.32,Electric Vehicle Battery Pack,3.85,6.52,45.73,Aluminum Alloy
Carbon Fiber Composite,116.92,14.44,6,396.14,88.3,138.34454,9.25,Hair Dryer,5.04,6.93,28.84,Carbon Fiber Composite
Lithium-ion Battery Material,273.23,13.06,1,328.78,43.89,186.92963000000003,7.68,LED TV,6.01,5.75,57.46,Lithium-ion Battery Material
Low Carbon Steel,121.36,32.66,3,540.78,80.47,64.55119,8.5,Smartphone,2.97,8.71,28.18,Low Carbon Steel
ABS Plastic,384.21,35.82,7,347.93,65.06,235.72363,6.95,LED TV,5.73,4.58,82.04,ABS Plastic
Copper,171.63,15.5,10,209.81,68.2,136.79144,9.56,Microwave Oven,7.71,6.96,40.91,Copper
Lithium-ion Battery Material,92.6,3.53,6,356.25,67.3,56.35526,8.82,Tablet,5.61,8.91,23.46,Lithium-ion Battery Material
Polypropylene,294.82,9.76,6,244.9,57.29,206.16412,9.64,Air Conditioner,7.21,5.29,63.92,Polypropylene
Stainless Steel,228.5,42.03,1,578.51,54.51,163.51397,7.82,LED TV,2.43,6.32,48.12,Stainless Steel
Carbon Fiber Composite,336.12,22.27,10,544.06,41.37,226.51363,7.08,LED TV,2.92,4.8,72.05,Carbon Fiber Composite
Stainless Steel,270.58,36.18,2,263.56,17.62,167.78923999999998,8.83,Smartphone,6.94,6.22,56.63,Stainless Steel
Carbon Fiber Composite,271.31,48.89,10,519.78,56.39,199.22505,6.22,Smartphone,3.27,5.46,59.61,Carbon Fiber Composite
Silicon,325.54,21.7,7,252.0,35.35,213.26137,7.86,Laptop,7.11,5.12,69.69,Silicon
Glass,348.44,32.92,8,444.95,38.0,229.76433,7.7,Microwave Oven,4.34,4.72,74.1,Glass
Glass,10.0,26.31,3,50.0,5.0,61.79717,9.18,Refrigerator,10.0,8.78,5.05,Glass
Copper,28.53,1.0,4,366.73,82.84,49.87145,7.46,Tablet,5.46,9.06,10.48,Copper
Stainless Steel,397.84,37.92,6,395.62,69.23,201.72,9.34,Tablet,5.05,5.4,84.45,Stainless Steel
Silicon,320.26,17.64,4,747.95,65.38,169.70695,11.42,Tablet,0.0,6.17,67.21,Silicon
Stainless Steel,321.4,16.73,2,164.13,17.33,203.14515,9.57,Microwave Oven,8.36,5.36,67.07,Stainless Steel
Glass,148.19,25.43,10,307.39,79.34,83.77714,7.79,Laptop,6.31,8.24,36.28,Glass
Carbon Fiber Composite,110.12,3.76,9,495.15,72.72,74.19608,4.78,Laptop,3.62,8.48,27.63,Carbon Fiber Composite
Glass,247.04,26.85,5,377.54,24.7,197.43849,7.78,Microwave Oven,5.31,5.5,52.71,Glass
Copper,458.66,1.0,3,217.63,52.59,287.64751,10.66,Microwave Oven,7.6,3.32,95.73,Copper
Glass,294.25,23.02,10,386.27,29.73,151.06723,6.87,Smartphone,5.18,6.62,63.78,Glass
Lithium-ion Battery Material,10.0,31.16,1,274.37,51.95,38.36215,6.97,Refrigerator,6.79,9.34,5.22,Lithium-ion Battery Material
Glass,376.53,30.03,2,384.72,65.84,232.29722,7.58,Air Conditioner,5.2,4.66,78.92,Glass
Aluminum Alloy,255.15,20.88,3,231.42,64.35,166.84435,6.62,Hair Dryer,7.4,6.24,55.34,Aluminum Alloy
Glass,370.32,33.82,1,54.5,38.1,217.8106,6.7,Air Conditioner,9.94,5.01,77.5,Glass
Silicon,179.34,26.03,5,342.3,34.75,116.05548,6.69,Smartphone,5.81,7.47,39.57,Silicon
Polypropylene,350.0,11.41,3,321.3,25.31,189.75499,8.63,Refrigerator,6.11,5.69,72.88,Polypropylene
Low Carbon Steel,398.59,9.68,5,287.73,53.69,246.10101,7.53,Hair Dryer,6.59,4.32,84.15,Low Carbon Steel
Stainless Steel,49.79,38.65,10,286.55,5.09,104.57783,9.38,Washing Machine,6.61,7.74,14.43,Stainless Steel
Aluminum Alloy,232.98,9.06,4,218.85,60.63,183.50223,11.47,Laptop,7.58,5.84,51.13,Aluminum Alloy
Glass,246.72,3.34,8,366.73,36.17,160.36699000000002,8.82,Microwave Oven,5.46,6.4,53.92,Glass
Glass,353.74,30.34,2,382.92,42.2,235.20777,7.5,LED TV,5.23,4.59,73.66,Glass
Copper,270.24,12.09,7,201.95,53.27,148.66332,6.67,Washing Machine,7.82,6.68,59.31,Copper
Silicon,334.16,44.55,7,164.34,84.08,218.48581,7.09,Smartphone,8.36,4.99,73.13,Silicon
Aluminum Alloy,140.85,15.54,2,545.56,69.71,73.37022,6.44,LED TV,2.9,8.5,31.44,Aluminum Alloy
Lithium-ion Battery Material,67.94,8.88,8,101.1,54.77,66.47116,8.83,Hair Dryer,9.27,8.66,19.49,Lithium-ion Battery Material
Glass,400.86,45.08,6,50.0,71.11,212.04003,6.11,Refrigerator,10.0,5.15,86.11,Glass
ABS Plastic,77.86,60.17,10,406.13,48.71,73.91533,2.85,Smartphone,4.9,8.48,21.01,ABS Plastic
Low Carbon Steel,193.77,1.0,7,264.94,64.34,148.55561,11.93,LED TV,6.92,6.68,44.17,Low Carbon Steel
Low Carbon Steel,395.01,17.16,5,190.06,54.65,271.61065,6.17,Laptop,7.99,3.71,83.74,Low Carbon Steel
ABS Plastic,70.93,42.74,2,421.34,82.54,51.20768,10.16,Microwave Oven,4.68,9.03,18.2,ABS Plastic
Carbon Fiber Composite,483.12,11.93,1,592.5,52.23,326.79189,7.64,Hair Dryer,2.23,2.38,98.94,Carbon Fiber Composite
Low Carbon Steel,213.55,16.63,10,292.79,93.56,157.318,9.74,Microwave Oven,6.52,6.47,49.82,Low Carbon Steel
Silicon,240.95,8.42,2,149.45,51.16,190.29758,6.73,Hair Dryer,8.58,5.67,52.04,Silicon
Silicon,131.57,42.28,9,309.31,50.02,130.75623,9.78,Laptop,6.28,7.11,31.77,Silicon
Silicon,353.82,23.3,10,291.62,81.9,240.80332,7.25,Electric Vehicle Battery Pack,6.54,4.45,77.53,Silicon
Carbon Fiber Composite,115.91,29.67,3,268.78,79.7,82.68916,8.4,LED TV,6.87,8.27,27.85,Carbon Fiber Composite
Stainless Steel,386.27,20.15,10,480.04,55.42,219.56241,6.95,Microwave Oven,3.84,4.97,82.68,Stainless Steel
Lithium-ion Battery Material,123.21,1.0,6,157.4,52.26,67.49802,1.72,Smartphone,8.46,8.64,29.7,Lithium-ion Battery Material
Stainless Steel,242.48,1.0,8,175.12,77.5,125.75874,8.26,Laptop,8.21,7.23,54.86,Stainless Steel
Lithium-ion Battery Material,221.4,53.88,9,134.51,78.21,144.29465,9.83,Microwave Oven,8.79,6.78,51.08,Lithium-ion Battery Material
ABS Plastic,281.68,1.0,9,337.89,69.81,147.88471,7.37,Microwave Oven,5.88,6.7,62.31,ABS Plastic
Aluminum Alloy,134.79,21.96,8,272.51,73.92,116.59343,5.12,Washing Machine,6.81,7.45,32.94,Aluminum Alloy
ABS Plastic,126.63,16.23,4,338.12,49.68,120.32076,11.32,Refrigerator,5.87,7.36,29.19,ABS Plastic
Glass,499.69,14.22,2,394.84,23.39,290.20051,8.25,Electric Vehicle Battery Pack,5.06,3.26,102.25,Glass
Polypropylene,414.18,32.18,3,241.03,53.39,210.87742,9.02,Washing Machine,7.26,5.18,86.79,Polypropylene
ABS Plastic,265.12,16.93,5,369.97,49.24,205.08713,8.16,Hair Dryer,5.42,5.31,57.09,ABS Plastic
ABS Plastic,219.6,31.67,10,429.43,55.18,119.07328,5.46,Microwave Oven,4.56,7.39,49.49,ABS Plastic
Polypropylene,273.68,9.58,1,151.94,48.17,194.86131,8.98,Laptop,8.54,5.56,58.19,Polypropylene
Silicon,308.13,25.52,3,245.63,68.49,211.80833,9.9,Hair Dryer,7.2,5.15,66.02,Silicon
Polypropylene,227.58,26.36,2,50.0,46.89,117.22339,9.73,Smartphone,10.0,7.44,49.52,Polypropylene
ABS Plastic,118.77,30.39,7,500.13,77.76,118.40005999999998,6.61,Washing Machine,3.55,7.41,28.9,ABS Plastic
Glass,224.65,25.71,9,50.0,37.1,159.59953000000002,10.47,Smartphone,10.0,6.41,50.74,Glass
Low Carbon Steel,224.03,34.91,1,277.9,51.51,167.35443,8.06,Air Conditioner,6.73,6.23,48.0,Low Carbon Steel
Aluminum Alloy,301.31,16.96,7,211.57,33.36,257.0071,6.15,LED TV,7.69,4.06,64.9,Aluminum Alloy
ABS Plastic,230.14,30.86,8,329.36,44.99,122.21123,10.24,Smartphone,6.0,7.32,50.98,ABS Plastic
Copper,214.93,35.85,10,438.24,54.92,149.49606,6.83,Tablet,4.44,6.66,48.52,Copper
Lithium-ion Battery Material,357.29,26.86,8,219.15,81.41,182.15158,8.75,Refrigerator,7.58,5.87,77.82,Lithium-ion Battery Material
Low Carbon Steel,130.48,34.96,1,270.69,36.26,69.19636,7.66,Tablet,6.84,8.6,28.85,Low Carbon Steel
Glass,268.23,26.78,1,348.41,45.31,203.08462000000003,8.35,Microwave Oven,5.72,5.36,56.45,Glass
Carbon Fiber Composite,224.39,31.28,2,297.9,72.71,160.88182,7.33,LED TV,6.45,6.38,48.95,Carbon Fiber Composite
Stainless Steel,290.55,37.65,3,167.91,72.21,219.3542,6.76,LED TV,8.31,4.97,62.84,Stainless Steel
Stainless Steel,380.17,28.17,4,237.21,41.26,242.20027,4.63,LED TV,7.32,4.42,79.94,Stainless Steel
Low Carbon Steel,234.46,29.22,2,574.88,52.55,212.36971,4.94,Smartphone,2.48,5.14,49.56,Low Carbon Steel
Aluminum Alloy,378.47,28.45,8,98.08,25.36,258.67608,7.01,Smartphone,9.31,4.02,80.72,Aluminum Alloy
Stainless Steel,10.0,41.27,2,296.22,88.29,96.90264,9.26,Air Conditioner,6.47,7.93,6.54,Stainless Steel
Carbon Fiber Composite,192.88,21.22,7,286.38,23.35,190.21146,6.55,Hair Dryer,6.61,5.67,42.7,Carbon Fiber Composite
Copper,245.3,8.37,8,330.5,60.61,137.82489,9.11,Tablet,5.98,6.94,54.47,Copper
Lithium-ion Battery Material,134.35,20.06,3,367.61,49.93,94.88719,7.99,Laptop,5.45,7.98,30.36,Lithium-ion Battery Material
Copper,302.07,15.3,5,165.41,86.5,167.75877,7.65,Refrigerator,8.35,6.22,66.18,Copper
Stainless Steel,419.49,12.88,7,262.67,61.17,223.68765,9.75,Air Conditioner,6.95,4.87,89.22,Stainless Steel
Silicon,220.99,1.74,6,139.68,41.43,192.85514,3.98,Hair Dryer,8.72,5.61,48.98,Silicon
Aluminum Alloy,217.72,49.0,5,529.25,49.95,145.46002,9.51,Refrigerator,3.13,6.76,47.17,Aluminum Alloy
Carbon Fiber Composite,236.72,21.22,3,267.46,79.11,121.06672,11.5,Air Conditioner,6.88,7.34,51.99,Carbon Fiber Composite
Low Carbon Steel,205.02,45.42,10,308.5,68.09,159.02491,9.36,Laptop,6.3,6.43,47.31,Low Carbon Steel
ABS Plastic,323.01,34.06,5,238.5,56.82,183.23364,7.86,Tablet,7.3,5.84,69.27,ABS Plastic
Polypropylene,88.53,56.47,10,389.6,56.29,124.92852,6.72,Electric Vehicle Battery Pack,5.13,7.25,23.42,Polypropylene
Low Carbon Steel,136.51,10.02,2,50.04,32.06,83.91148999999999,11.78,Tablet,10.0,8.24,30.86,Low Carbon Steel
Low Carbon Steel,159.71,16.89,3,179.78,46.07,136.73987,7.2,Hair Dryer,8.14,6.97,35.85,Low Carbon Steel
Stainless Steel,306.14,43.06,2,240.55,56.62,238.95254,6.9,Laptop,7.27,4.5,64.98,Stainless Steel
ABS Plastic,165.67,31.04,10,228.85,69.84,107.99563,6.63,Hair Dryer,7.44,7.66,39.72,ABS Plastic
Stainless Steel,503.72,11.22,6,207.96,74.44,290.81316000000004,3.77,Refrigerator,7.74,3.24,106.33,Stainless Steel
Silicon,254.42,47.28,6,50.0,28.35,151.85458,7.56,Microwave Oven,10.0,6.6,55.53,Silicon
Carbon Fiber Composite,305.23,13.15,6,398.83,28.89,184.11329,6.06,Refrigerator,5.0,5.82,64.71,Carbon Fiber Composite
Low Carbon Steel,217.43,18.51,5,627.86,69.7,201.28199,7.51,Microwave Oven,1.72,5.41,47.42,Low Carbon Steel
Copper,43.55,7.04,9,50.0,49.08,91.79036,8.54,Hair Dryer,10.0,8.05,14.88,Copper
Silicon,125.53,33.78,1,364.59,85.73,132.56599,6.5,Tablet,5.49,7.07,29.08,Silicon
Polypropylene,284.05,34.53,3,245.92,35.19,207.92925,5.59,Hair Dryer,7.19,5.25,60.2,Polypropylene
Silicon,245.32,22.75,4,293.91,100.0,206.41044,9.43,LED TV,6.51,5.28,54.57,Silicon
Copper,423.19,18.86,5,141.58,34.5,258.675,4.24,Electric Vehicle Battery Pack,8.69,4.02,88.91,Copper
ABS Plastic,259.26,23.66,6,206.12,62.73,177.39439000000002,10.14,Microwave Oven,7.76,5.98,57.09,ABS Plastic
ABS Plastic,49.77,31.06,2,195.81,43.99,84.74246,4.5,Air Conditioner,7.91,8.22,13.46,ABS Plastic
Stainless Steel,162.02,1.0,1,270.68,33.65,112.35225,9.67,Washing Machine,6.84,7.55,35.08,Stainless Steel
Stainless Steel,236.12,27.57,7,388.06,39.09,199.44518,5.74,Microwave Oven,5.16,5.45,51.53,Stainless Steel
Polypropylene,458.18,31.56,4,494.44,76.75,267.61488,5.98,Refrigerator,3.63,3.8,95.86,Polypropylene
Aluminum Alloy,158.78,61.9,6,417.22,77.71,113.14427,6.27,Tablet,4.74,7.54,36.84,Aluminum Alloy
Aluminum Alloy,283.21,2.19,4,50.0,57.23,211.54066,11.68,Air Conditioner,10.0,5.16,61.56,Aluminum Alloy
Lithium-ion Battery Material,437.05,36.39,3,208.73,37.66,236.97086,9.03,Hair Dryer,7.73,4.54,90.99,Lithium-ion Battery Material
Low Carbon Steel,227.94,6.73,10,125.33,58.53,118.28925,10.21,Microwave Oven,8.92,7.41,52.13,Low Carbon Steel
Aluminum Alloy,451.17,27.08,8,392.73,52.35,278.35399,8.23,Tablet,5.09,3.55,95.22,Aluminum Alloy
Low Carbon Steel,137.45,14.18,10,320.83,70.96,125.78672,9.66,Washing Machine,6.12,7.23,33.84,Low Carbon Steel
Glass,249.99,26.93,8,211.3,39.33,157.88168000000002,4.32,Laptop,7.69,6.46,55.12,Glass
ABS Plastic,41.43,26.5,10,374.77,63.51,23.94455,8.87,Washing Machine,5.35,9.69,14.26,ABS Plastic
Carbon Fiber Composite,243.53,17.16,9,163.35,29.31,170.18039000000002,10.28,Refrigerator,8.38,6.16,53.96,Carbon Fiber Composite
Glass,141.51,18.83,1,410.73,31.23,115.98973,7.55,Electric Vehicle Battery Pack,4.83,7.47,30.5,Glass
Stainless Steel,359.65,8.9,3,286.17,59.18,263.21354,6.81,Refrigerator,6.62,3.91,75.93,Stainless Steel
Stainless Steel,88.94,22.6,5,263.49,52.5,114.42748,8.11,Microwave Oven,6.94,7.5,22.25,Stainless Steel
ABS Plastic,457.28,1.0,7,436.18,38.36,276.46172,5.82,Air Conditioner,4.47,3.59,95.6,ABS Plastic
Aluminum Alloy,291.98,17.84,4,421.63,49.8,148.1096,9.45,Tablet,4.68,6.69,62.03,Aluminum Alloy
Glass,342.5,38.92,1,359.71,43.37,188.05048,6.27,Hair Dryer,5.56,5.73,71.21,Glass
Low Carbon Steel,242.4,21.13,9,601.31,36.76,154.52,7.04,Microwave Oven,2.1,6.54,52.7,Low Carbon Steel
Silicon,431.6,19.35,2,347.41,80.68,223.26303,9.17,Washing Machine,5.74,4.88,90.49,Silicon
Glass,106.77,23.92,8,638.6,35.41,62.82596,9.12,Washing Machine,1.57,8.75,25.13,Glass
Glass,130.38,4.15,3,282.25,32.71,124.29952,9.23,Tablet,6.67,7.27,29.29,Glass
Stainless Steel,138.7,5.15,7,234.61,62.03,91.72922,9.76,Laptop,7.35,8.05,33.17,Stainless Steel
Copper,275.51,49.4,8,335.41,36.68,159.82897,7.23,Microwave Oven,5.91,6.41,59.78,Copper
Lithium-ion Battery Material,259.38,5.18,3,229.21,54.98,168.77601,7.54,Refrigerator,7.43,6.19,55.91,Lithium-ion Battery Material
Stainless Steel,308.62,37.14,3,334.61,61.13,163.53322,8.2,Tablet,5.92,6.32,65.64,Stainless Steel
Polypropylene,251.43,3.13,6,318.89,78.79,191.8579,13.31,LED TV,6.15,5.63,55.68,Polypropylene
ABS Plastic,321.49,41.18,10,126.52,71.7,241.27019,8.93,Electric Vehicle Battery Pack,8.9,4.44,71.23,ABS Plastic
Low Carbon Steel,302.16,37.17,5,423.78,22.72,215.02708,8.99,LED TV,4.64,5.07,63.54,Low Carbon Steel
Aluminum Alloy,297.84,35.15,5,294.35,78.3,203.26152,8.47,Smartphone,6.5,5.36,64.72,Aluminum Alloy
ABS Plastic,73.24,6.85,4,356.88,61.32,80.68310999999999,4.52,Electric Vehicle Battery Pack,5.6,8.32,18.81,ABS Plastic
Low Carbon Steel,228.71,32.87,9,421.77,90.14,143.36394,8.19,Tablet,4.67,6.81,52.08,Low Carbon Steel
Stainless Steel,306.53,5.94,7,419.85,40.84,196.6642,7.72,Air Conditioner,4.7,5.52,65.57,Stainless Steel
Copper,303.3,24.03,3,313.94,44.8,214.01265,6.9,Microwave Oven,6.22,5.1,64.15,Copper
Glass,238.25,31.72,3,348.7,63.8,218.99691,5.6,Hair Dryer,5.72,4.98,51.61,Glass
Polypropylene,267.46,22.02,3,306.01,47.25,197.86175,6.12,Microwave Oven,6.33,5.49,57.08,Polypropylene
Glass,113.08,1.0,4,220.05,53.42,82.16735,6.47,Smartphone,7.56,8.28,26.93,Glass
Low Carbon Steel,234.68,34.67,3,214.43,53.09,193.37878,7.65,Laptop,7.64,5.6,50.96,Low Carbon Steel
Stainless Steel,204.84,17.57,4,442.4,60.22,133.57702999999998,7.07,Electric Vehicle Battery Pack,4.38,7.04,44.85,Stainless Steel
Low Carbon Steel,268.8,1.0,10,368.09,42.5,168.58706,6.23,Laptop,5.44,6.2,59.12,Low Carbon Steel
Silicon,265.83,8.48,8,409.82,55.47,174.0859,10.01,Laptop,4.84,6.06,58.2,Silicon
Carbon Fiber Composite,344.2,1.0,2,99.04,51.45,210.95255,5.41,Hair Dryer,9.3,5.17,72.84,Carbon Fiber Composite
Lithium-ion Battery Material,189.84,18.66,8,307.05,61.18,182.60213,5.89,Refrigerator,6.32,5.86,43.47,Lithium-ion Battery Material
Stainless Steel,207.81,6.87,7,215.11,85.75,109.94217,7.85,Laptop,7.63,7.61,47.76,Stainless Steel
Stainless Steel,245.52,1.0,4,272.2,57.41,226.3124,7.02,Washing Machine,6.82,4.8,53.39,Stainless Steel
Copper,383.86,28.43,1,207.78,28.84,264.79909,8.12,Hair Dryer,7.74,3.87,79.49,Copper
Glass,300.97,10.94,6,475.18,74.9,213.85043,6.09,LED TV,3.91,5.1,65.02,Glass
Lithium-ion Battery Material,413.9,8.7,1,375.25,79.23,268.85979000000003,6.44,Smartphone,5.34,3.77,86.52,Lithium-ion Battery Material
Aluminum Alloy,187.41,12.28,2,168.39,61.38,151.81454,6.33,Smartphone,8.3,6.6,41.58,Aluminum Alloy
Low Carbon Steel,486.22,62.58,4,232.25,49.74,291.68606000000005,11.79,LED TV,7.39,3.22,101.41,Low Carbon Steel
Low Carbon Steel,183.98,38.27,3,118.22,63.32,99.42788,7.09,Electric Vehicle Battery Pack,9.02,7.87,41.4,Low Carbon Steel
Glass,328.25,1.0,7,290.27,51.01,175.68968,4.01,Tablet,6.56,6.02,70.59,Glass
Copper,318.74,41.99,8,516.95,50.4,200.28303,8.68,Air Conditioner,3.31,5.43,68.32,Copper
Lithium-ion Battery Material,184.59,42.24,6,206.47,44.57,134.70096,10.07,Tablet,7.76,7.01,41.61,Lithium-ion Battery Material
Stainless Steel,122.47,17.58,1,147.6,33.89,180.01209,4.51,Smartphone,8.6,5.92,27.53,Stainless Steel
Lithium-ion Battery Material,152.73,20.95,1,190.39,44.88,109.25281,7.49,Electric Vehicle Battery Pack,7.99,7.63,33.79,Lithium-ion Battery Material
Copper,176.64,47.66,6,332.26,27.47,194.65756,5.79,LED TV,5.96,5.57,39.14,Copper
Silicon,365.01,32.79,7,426.24,58.73,233.84832,9.88,Washing Machine,4.61,4.62,77.79,Silicon
Low Carbon Steel,358.48,20.19,3,95.69,54.82,198.76416,6.63,Electric Vehicle Battery Pack,9.35,5.47,76.11,Low Carbon Steel
Carbon Fiber Composite,181.34,26.5,9,624.01,44.48,149.26997,5.88,Refrigerator,1.78,6.66,40.66,Carbon Fiber Composite
Polypropylene,29.82,1.7,9,320.86,37.46,70.01234,7.37,LED TV,6.12,8.58,11.01,Polypropylene
Carbon Fiber Composite,339.72,46.11,5,334.83,43.74,253.21741,8.17,Electric Vehicle Battery Pack,5.92,4.15,71.94,Carbon Fiber Composite
Stainless Steel,53.14,19.71,6,622.24,78.26,103.72384,7.81,LED TV,1.8,7.76,15.14,Stainless Steel
Stainless Steel,271.33,65.6,9,484.16,78.75,190.86852,10.35,Tablet,3.78,5.66,60.08,Stainless Steel
Lithium-ion Battery Material,139.42,42.38,1,296.71,36.13,106.1244,7.76,Laptop,6.47,7.71,30.56,Lithium-ion Battery Material
Lithium-ion Battery Material,156.42,14.19,2,361.7,79.29,125.89397,8.82,Electric Vehicle Battery Pack,5.53,7.23,35.37,Lithium-ion Battery Material
Glass,263.36,9.82,3,284.32,92.09,145.99933,6.55,Laptop,6.64,6.74,57.66,Glass
Glass,295.84,16.47,5,212.21,63.31,191.43706,9.97,Air Conditioner,7.68,5.64,64.1,Glass
Carbon Fiber Composite,74.69,27.61,4,207.27,67.59,41.09539,4.76,Laptop,7.75,9.28,19.72,Carbon Fiber Composite
Polypropylene,64.86,11.9,1,424.34,78.27,68.58448999999999,7.34,Tablet,4.64,8.61,16.55,Polypropylene
